City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Sur,OM,83.84,few clouds,22.5667,59.5289,Sur Plaza Hotel
378,Dicabisagan,PH,81.01,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
379,Pokhara,NP,82.27,clear sky,28.2333,83.9833,Butterfly Lodge
389,Buraydah,SA,77.0,few clouds,26.326,43.975,فندق راحة السلام
401,Hurricane,US,77.0,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
402,Santiago De Las Vegas,CU,80.6,scattered clouds,22.97,-82.3869,Bella Vista Miramar
409,Itoman,JP,75.0,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
411,Lingao,CN,83.48,light rain,19.9103,109.6859,Lingao Ditai Inn
412,Soyo,AO,78.46,scattered clouds,-6.1349,12.3689,Hotel Mpampa
413,Bonoua,CI,80.6,few clouds,5.2741,-3.595,Hotel Bon Samaritian
418,Nanakuli,US,82.4,overcast clouds,21.3906,-158.1547,Camp Pālehua
419,Kavaratti,IN,83.84,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
423,Geraldton,AU,78.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
433,Pindiga,NG,79.81,overcast clouds,9.9833,10.9333,Accommodation Center
438,Iracoubo,GF,77.27,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
441,Pucallpa,PE,82.4,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
447,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
448,Tual,ID,83.17,broken clouds,-5.6667,132.75,Grand Vilia Hotel
452,Langsa,ID,82.35,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
455,Bandarbeyla,SO,81.59,overcast clouds,9.4942,50.8122,JABIR HOTEL
468,Kihei,US,78.8,scattered clouds,20.785,-156.4656,Maui Sunset
471,Bintulu,MY,82.4,few clouds,3.1667,113.0333,900 Boutique INN
476,Grand Gaube,MU,75.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
477,Iralaya,HN,79.25,few clouds,15.0,-83.2333,Iglesia morava renovada
481,Bourail,NC,75.61,broken clouds,-21.5667,165.4833,Motel Allamanda
486,Atar,MR,76.71,clear sky,20.5169,-13.0499,Oumou Elghoura
498,Quatre Cocos,MU,75.2,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
500,Hithadhoo,MV,82.44,broken clouds,-0.6,73.0833,Scoop Guest House
506,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Bungalow 63
507,Cairns,AU,75.2,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
508,Pedernales,DO,78.46,broken clouds,18.0384,-71.744,Hotel Costa Marina
511,Ipixuna,BR,77.0,heavy intensity rain,-1.7625,-48.8043,Casa da Oscarina
515,Padang,ID,82.27,overcast clouds,-0.9492,100.3543,Mercure Padang
516,Kinango,KE,80.6,broken clouds,-4.1372,39.3153,Legacy Hotel
519,Bonthe,SL,81.03,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
520,Eyl,SO,82.29,light rain,7.9803,49.8164,Amiin Hotel
523,Palmas Bellas,PA,82.0,broken clouds,9.2319,-80.0867,Estación de Chagres
525,Constancia,MX,75.0,overcast clouds,24.2231,-107.1869,Mi casa
527,Doha,QA,81.0,clear sky,25.2867,51.5333,Movenpick Hotel Doha
535,Bellavista,PE,78.8,scattered clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
558,San Andres,CO,82.4,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
563,Garowe,SO,76.35,broken clouds,8.4054,48.4845,Curubo Hotel
565,Save,BJ,77.5,broken clouds,8.0425,2.4859999999999998,Restaurant Plazza Hotel
570,Mogadishu,SO,82.51,light rain,2.0371,45.3438,Hotel Juba
572,Sulangan,PH,81.68,scattered clouds,11.1373,123.7228,Maia's Beach Resort
574,Boyolangu,ID,82.99,scattered clouds,-8.1181,111.8935,Yos ega cv
578,Kalmunai,LK,80.4,overcast clouds,7.4167,81.8167,VS Villa
581,Cayenne,GF,81.0,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
582,Sakakah,SA,75.2,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
588,Omboue,GA,79.05,broken clouds,-1.5746,9.2618,Hotel Olako
589,Mareeba,AU,75.2,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
590,Salvador,SV,82.4,few clouds,13.8333,-88.9167,Chico's Ranch
605,Tabuk,PH,82.36,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
626,Warri,NG,78.26,broken clouds,5.5167,5.75,BON Hotel Delta
631,Ishigaki,JP,75.2,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
633,Dzilam Gonzalez,MX,78.96,clear sky,21.2833,-88.9333,posadas
635,Shirgaon,IN,82.47,clear sky,19.7,72.7,"Samarth Krupa Farm, Palghar"
