City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Lexington,US,2021-04-26 01:28:21,37.9887,-84.4777,53.6,71,1,4.61,clear sky
96,Nizhneangarsk,RU,2021-04-26 01:32:22,55.7833,109.55,34.57,63,100,5.91,overcast clouds
97,Port Hardy,CA,2021-04-26 01:32:23,50.6996,-127.4199,51.8,82,75,3.44,light rain
98,Bratsk,RU,2021-04-26 01:32:23,56.1325,101.6142,35.6,75,75,15.66,broken clouds
99,Namibe,AO,2021-04-26 01:30:13,-15.1961,12.1522,75.52,69,0,10.96,clear sky
100,Kununurra,AU,2021-04-26 01:32:24,-15.7667,128.7333,87.8,33,99,14.97,overcast clouds
101,Wewak,PG,2021-04-26 01:32:24,-3.5534,143.6268,85.24,65,45,3.87,scattered clouds
102,Erenhot,CN,2021-04-26 01:32:24,43.6475,111.9767,46.83,13,37,34.4,scattered clouds
103,Butaritari,KI,2021-04-26 01:32:25,3.0707,172.7902,83.1,73,18,11.81,few clouds
104,Mar Del Plata,AR,2021-04-26 01:27:58,-38.0023,-57.5575,61.0,87,40,3.44,scattered clouds
105,Tiksi,RU,2021-04-26 01:32:25,71.6872,128.8694,28.58,95,100,10.13,light snow
106,Newport,GB,2021-04-26 01:29:42,51.5877,-2.9984,42.01,78,11,13.27,few clouds
107,Andenes,NO,2021-04-26 01:32:25,69.3143,16.1194,35.6,75,90,10.36,overcast clouds
108,Acapulco,MX,2021-04-26 01:32:25,16.8634,-99.8901,82.4,78,90,5.75,overcast clouds
109,Airai,TL,2021-04-26 01:32:26,-8.9266,125.4092,71.42,41,35,2.73,scattered clouds
110,Birao,CF,2021-04-26 01:32:26,10.2849,22.7882,76.1,64,100,3.47,overcast clouds
111,Yegros,PY,2021-04-26 01:32:26,-26.45,-56.4,57.99,84,4,4.43,clear sky
112,Elliot Lake,CA,2021-04-26 01:32:26,46.3834,-82.6331,32.0,55,20,11.5,few clouds
113,Shubarshi,KZ,2021-04-26 01:32:27,48.5872,57.1869,50.29,81,100,10.33,overcast clouds
114,Cidreira,BR,2021-04-26 01:32:27,-30.1811,-50.2056,66.7,62,100,13.27,overcast clouds
115,Alofi,NU,2021-04-26 01:32:27,-19.0595,-169.9187,84.2,70,94,5.75,overcast clouds
116,Sobolevo,RU,2021-04-26 01:32:27,54.4299,31.8996,28.96,85,12,6.08,few clouds
117,Chuy,UY,2021-04-26 01:32:28,-33.6971,-53.4616,59.95,79,38,8.7,scattered clouds
118,Aklavik,CA,2021-04-26 01:32:28,68.2191,-135.0107,17.6,73,100,8.05,overcast clouds
119,Seddon,AU,2021-04-26 01:32:28,-37.8068,144.8916,63.0,67,90,11.5,overcast clouds
120,Malusac,PH,2021-04-26 01:32:29,14.8587,120.6215,82.4,74,75,6.91,broken clouds
121,Show Low,US,2021-04-26 01:28:45,34.2542,-110.0298,66.2,9,1,23.02,clear sky
122,Torbay,CA,2021-04-26 01:30:16,47.6666,-52.7314,42.01,65,1,13.8,clear sky
123,Bethel,US,2021-04-26 01:32:29,41.3712,-73.414,52.0,76,1,10.85,clear sky
124,New Norfolk,AU,2021-04-26 01:32:29,-42.7826,147.0587,62.01,75,100,7.0,overcast clouds
125,Hilo,US,2021-04-26 01:32:29,19.7297,-155.09,75.2,73,90,11.5,light rain
126,Kapaa,US,2021-04-26 01:32:30,22.0752,-159.319,78.8,69,40,13.8,light rain
127,Warwick,US,2021-04-26 01:32:30,41.7001,-71.4162,51.8,71,90,9.22,overcast clouds
128,Baruun-Urt,MN,2021-04-26 01:32:30,46.6806,113.2792,46.09,14,7,33.55,clear sky
129,Lebu,CL,2021-04-26 01:32:31,-37.6167,-73.65,54.64,92,36,9.28,scattered clouds
130,Sarakhs,IR,2021-04-26 01:32:31,36.5449,61.1577,64.4,36,1,2.3,clear sky
131,Dingle,PH,2021-04-26 01:32:31,10.9995,122.6711,87.69,56,82,4.63,light rain
132,Shingu,JP,2021-04-26 01:32:31,33.7333,135.9833,62.6,29,0,17.27,clear sky
133,Santa Maria,BR,2021-04-26 01:32:32,-29.6842,-53.8069,57.2,82,0,3.44,clear sky
134,Kodiak,US,2021-04-26 01:32:32,57.79,-152.4072,42.8,81,90,8.05,overcast clouds
135,Houma,US,2021-04-26 01:32:32,29.5958,-90.7195,70.0,72,1,2.42,clear sky
136,Turkmenabat,TM,2021-04-26 01:32:32,39.0733,63.5786,60.8,39,0,6.91,clear sky
137,Yarmouth,US,2021-04-26 01:32:33,41.7057,-70.2286,48.2,87,90,13.8,overcast clouds
138,Cabo San Lucas,MX,2021-04-26 01:32:33,22.8909,-109.9124,78.01,29,90,11.5,overcast clouds
139,Saint George,US,2021-04-26 01:31:01,37.1041,-113.5841,77.0,15,1,25.32,clear sky
140,Kiama,AU,2021-04-26 01:32:33,-34.6833,150.8667,71.01,59,0,1.01,clear sky
141,Ponta Do Sol,PT,2021-04-26 01:32:33,32.6667,-17.1,57.99,86,52,3.0,broken clouds
142,Faanui,PF,2021-04-26 01:32:34,-16.4833,-151.75,81.34,63,5,1.19,clear sky
143,Washougal,US,2021-04-26 01:32:34,45.5826,-122.3534,57.99,58,75,10.36,broken clouds
144,Husavik,IS,2021-04-26 01:32:34,66.0449,-17.3389,35.6,93,90,11.5,overcast clouds
145,Morant Bay,JM,2021-04-26 01:32:35,17.8815,-76.4093,80.6,74,20,6.91,few clouds
146,Saskylakh,RU,2021-04-26 01:32:35,71.9167,114.0833,14.61,92,100,23.11,light snow
147,East London,ZA,2021-04-26 01:32:35,-33.0153,27.9116,67.77,48,100,9.15,overcast clouds
148,Egvekinot,RU,2021-04-26 01:32:35,66.3167,-179.1667,28.92,88,11,1.03,few clouds
149,Roald,NO,2021-04-26 01:32:36,62.5833,6.1333,35.6,87,8,10.36,clear sky
150,Provideniya,RU,2021-04-26 01:32:36,64.3833,-173.3,41.0,60,0,4.47,clear sky
151,Pisco,PE,2021-04-26 01:32:36,-13.7,-76.2167,64.4,88,75,3.44,broken clouds
152,Coihaique,CL,2021-04-26 01:32:37,-45.5752,-72.0662,55.4,58,75,8.05,broken clouds
153,Nador,MA,2021-04-26 01:32:37,35.174,-2.9287,60.8,94,0,3.44,clear sky
154,Kortkeros,RU,2021-04-26 01:32:38,61.8106,51.5806,37.4,93,90,6.71,overcast clouds
155,Thompson,CA,2021-04-26 01:26:33,55.7435,-97.8558,32.0,93,90,7.23,light snow
156,Lorengau,PG,2021-04-26 01:32:38,-2.0226,147.2712,85.75,65,86,3.4,overcast clouds
157,Iquitos,PE,2021-04-26 01:31:31,-3.7481,-73.2472,80.6,89,40,3.44,scattered clouds
158,Yellowknife,CA,2021-04-26 01:32:05,62.456,-114.3525,10.4,72,90,12.66,light snow
159,Necochea,AR,2021-04-26 01:30:13,-38.5473,-58.7368,54.0,90,56,5.37,broken clouds
160,Katsuura,JP,2021-04-26 01:32:39,35.1333,140.3,57.99,35,0,17.27,clear sky
161,Nanortalik,GL,2021-04-26 01:32:39,60.1432,-45.2371,38.28,89,100,6.06,light rain
162,Okha,RU,2021-04-26 01:32:39,53.5739,142.9478,32.04,43,0,3.51,clear sky
163,Fortuna,US,2021-04-26 01:32:40,40.5982,-124.1573,53.01,81,75,6.91,broken clouds
164,Komsomolskiy,UZ,2021-04-26 01:32:40,40.4272,71.7189,60.8,44,0,9.22,clear sky
165,Kidal,ML,2021-04-26 01:32:40,18.4411,1.4078,84.81,7,5,3.83,clear sky
166,Jamestown,US,2021-04-26 01:31:15,42.097,-79.2353,37.0,69,75,10.36,broken clouds
167,Prachin Buri,TH,2021-04-26 01:32:41,14.0833,101.6667,86.14,68,66,4.03,broken clouds
168,Bathsheba,BB,2021-04-26 01:32:41,13.2167,-59.5167,78.8,65,40,14.97,scattered clouds
169,Guerrero Negro,MX,2021-04-26 01:32:41,27.9769,-114.0611,59.86,80,100,15.26,overcast clouds
170,Tezu,IN,2021-04-26 01:32:42,27.9167,96.1667,91.76,14,3,2.26,clear sky
171,Vao,NC,2021-04-26 01:32:42,-22.6667,167.4833,74.41,69,73,15.52,broken clouds
172,Barrow,US,2021-04-26 01:31:15,71.2906,-156.7887,21.2,79,1,20.71,clear sky
173,Dunedin,NZ,2021-04-26 01:28:46,-45.8742,170.5036,62.01,32,50,27.0,scattered clouds
174,Tasiilaq,GL,2021-04-26 01:32:42,65.6145,-37.6368,39.2,60,90,13.8,overcast clouds
175,Hobart,AU,2021-04-26 01:32:34,-42.8794,147.3294,64.4,45,40,16.11,scattered clouds
176,Antofagasta,CL,2021-04-26 01:32:43,-23.65,-70.4,60.8,82,0,4.61,clear sky
177,San Policarpo,PH,2021-04-26 01:32:43,12.1791,125.5072,81.32,69,9,10.02,clear sky
178,Coquimbo,CL,2021-04-26 01:32:43,-29.9533,-71.3436,55.4,88,0,3.44,clear sky
179,Lerwick,GB,2021-04-26 01:32:44,60.1545,-1.1494,42.8,93,100,4.61,overcast clouds
180,Naze,JP,2021-04-26 01:32:44,28.3667,129.4833,75.2,60,75,14.97,broken clouds
181,Pimentel,PE,2021-04-26 01:32:44,-6.8367,-79.9342,68.0,77,0,18.41,clear sky
182,Fort Nelson,CA,2021-04-26 01:30:05,58.8053,-122.7002,57.2,17,75,5.75,broken clouds
183,Hovd,MN,2021-04-26 01:32:45,48.0056,91.6419,33.73,22,0,0.67,clear sky
184,Tyler,US,2021-04-26 01:30:59,32.3513,-95.3011,73.4,53,1,8.05,clear sky
185,Viedma,AR,2021-04-26 01:32:45,-40.8135,-62.9967,54.97,72,36,10.22,scattered clouds
186,Kutiyana,IN,2021-04-26 01:32:45,21.6233,69.9817,82.08,66,0,8.41,clear sky
